Data,Serasa_Inadimplentes_milhoes,Serasa_Dividas_Negativadas_milhoes,Serasa_Dividas_Negativadas_R_bilhoes,Serasa_Dividas_Media_por_CPF,Serasa_Divida_Media_R,Serasa_Ticket_Medio_R,Serasa_Populacao_Adulta_pct,Serasa_Genero_F_milhoes,Serasa_Genero_M_milhoes,Serasa_Ate_25_milhoes,Serasa_26_40_milhoes,Serasa_41_60_milhoes,Serasa_Acima_60_milhoes
2025-04-01,76.638531,294.106688,457.433103154,3.837582534038916,5968.709175205876,1555.3305035824276,47.09583156108621,38.552363,38.086168,9.253785,26.547103,26.592871,14.244772
2025-05-01,77.07228,298.51002,465.280932598,3.873117805779198,6036.9426283743,1558.6777710108358,47.3281103034737,38.785603,38.286677,9.254896,26.643574,26.732131,14.441679
2025-06-01,77.874599,304.543449,477.235509303,3.9106904293658062,6128.25639465572,1567.0522904697252,47.78618724232258,39.196348,38.678251,9.244174,26.932323,27.072382,14.62572
2025-07-01,78.161185,307.521475,482.859604049,3.9344525674732287,6177.741599605993,1570.1654788466396,47.92733279183709,39.323169,38.838016,9.267468,27.000328,27.161753,14.731636
2025-08-01,78.848843,313.098517,494.109997012,3.9708701496101853,6266.547208714273,1578.1294710252491,48.31521840435231,39.674614,39.174229,9.264646,27.178258,27.449898,14.956041
2025-09-01,79.166952,313.470324,496.66958279200003,3.959610873991966,6273.69843406375,1584.422973295552,48.476246927706455,39.850875,39.316077,9.22412,27.191145,27.560567,15.19112
2025-10-01,80.436532,321.25458,509.176292172,3.993888995612093,6330.162172730172,1584.9619705717505,49.219227565150234,40.550953,39.885579,9.355125,27.527161,28.030503,15.523743
2025-11-01,80.609866,321.627972,511.525401763,3.9899330933015076,6345.692247683429,1590.4257287764758,49.29081491561739,40.608031,40.001835,9.269373,27.539959,28.14877,15.651764
2025-12-01,81.248016,325.466271,518.55522155,4.0058365363653925,6382.373959137661,1593.2686971117816,49.64629678557462,40.944929,40.303087,9.216482,27.654759,28.468753,15.908022
2026-01-01,81.319333,327.229807,524.777602728,4.024009973126563,6453.29447953047,1603.6974367924863,49.65513335523013,41.014054,40.305279,9.272322,27.695314,28.479409,15.872288
2026-02-01,81.731916,332.189924,539.278063764,4.06438439544229,6598.133142553515,1623.402833145535,49.872165071397866,41.28292,40.448996,9.359189,27.914156,28.595395,15.863176
2026-03-01,82.832491,338.265194,557.33931667,4.083725962074471,6728.510877090488,1647.6401549903476,50.50837716885126,41.862658,40.969833,9.509027,28.262547,28.969028,16.091889
2026-04-01,83.389192,342.991975,568.246827535,4.1131466413537145,6814.394214720296,1656.7350519935633,50.812264989473974,42.145018,41.244174,9.572059,28.415348,29.184618,16.217167
2026-05-01,83.502846,344.16849,574.268388458,4.121637842140135,6877.231327636426,1668.567591582832,50.845920628947106,42.161828,41.341018,9.402522,28.38531,29.351936,16.363078
2026-06-01,83.737593,345.475932,579.517066502,4.125696949517047,6920.632009353315,1677.445555026392,50.953181995680055,42.287354,41.450239,9.44716,28.42104,29.447792,16.421601
2026-07-01,83.931918,348.310896,586.451721937,4.1499217973310225,6987.23126924134,1683.7019130661938,51.03568452940477,42.403304,41.528614,9.438497,28.445168,29.53223,16.516023
2026-08-01,,,,,,,,,,,,,
2026-09-01,,,,,,,,,,,,,
2026-10-01,,,,,,,,,,,,,
2026-11-01,,,,,,,,,,,,,
2026-12-01,,,,,,,,,,,,,
